날짜,종가
2020-04-06,1224.60 
2020-04-03,1235.61 
2020-04-02,1227.35 
2020-04-01,1236.20 
2020-03-31,1218.30 
2020-03-30,1224.21 
2020-03-27,1212.23 
2020-03-26,1212.90 
2020-03-25,1232.00 
2020-03-24,1233.21 
2020-03-23,1272.50 
2020-03-20,1254.45 
2020-03-19,1257.86 
2020-03-18,1256.46 
2020-03-17,1239.72 
2020-03-16,1232.37 
2020-03-13,1211.28 
2020-03-12,1210.71 
2020-03-11,1192.57 
2020-03-10,1185.60 
2020-03-09,1200.88 
2020-03-06,1188.70 
2020-03-05,1188.72 
2020-03-04,1184.73 
2020-03-03,1180.50 
2020-03-02,1189.61 
2020-02-28,1200.20 
2020-02-27,1212.63 
2020-02-26,1212.31 
2020-02-25,1215.54 
2020-02-24,1219.08 
2020-02-21,1206.91 
2020-02-20,1204.71 
2020-02-19,1192.50 
2020-02-18,1190.95 
2020-02-17,1185.25 
2020-02-14,1182.46 
2020-02-13,1183.58 
2020-02-12,1178.51 
2020-02-11,1181.25 
2020-02-10,1187.17 
2020-02-07,1191.39 
2020-02-06,1185.28 
2020-02-05,1183.40 
2020-02-04,1182.90 
2020-02-03,1189.79 
2020-01-31,1194.97 
2020-01-30,1187.64 
2020-01-29,1178.68 
2020-01-28,1175.71 
2020-01-27,1176.70 
2020-01-24,1169.20 
2020-01-23,1168.54 
2020-01-22,1164.76 
2020-01-21,1169.01 
2020-01-20,1158.61 
2020-01-17,1160.44 
2020-01-16,1159.73 
2020-01-15,1157.91 
2020-01-14,1157.20 
2020-01-13,1153.95 
2020-01-10,1157.97 
2020-01-09,1158.72 
2020-01-08,1162.25 
2020-01-07,1167.30 
2020-01-06,1166.94 
2020-01-03,1164.95 
2020-01-02,1157.35 
2020-01-01,1154.02 
2019-12-31,1154.07 
2019-12-30,1156.97 
2019-12-27,1158.95 
2019-12-26,1161.30 
2019-12-25,1159.76 
2019-12-24,1162.52 
2019-12-23,1163.04 
2019-12-20,1158.99 
2019-12-19,1162.27 
2019-12-18,1166.57 
2019-12-17,1163.15 
2019-12-16,1167.48 
2019-12-13,1175.57 
2019-12-12,1171.89 
2019-12-11,1188.61 
2019-12-10,1189.49 
2019-12-09,1189.55 
2019-12-06,1185.51 
2019-12-05,1187.92 
2019-12-04,1191.15 
2019-12-03,1189.36 
2019-12-02,1184.78 
2019-11-29,1180.70 
2019-11-28,1178.09 
2019-11-27,1175.97 
2019-11-26,1172.42 
2019-11-25,1172.90 
2019-11-22,1179.33 
2019-11-21,1176.45 
2019-11-20,1169.82 
2019-11-19,1167.35 
2019-11-18,1166.23 
2019-11-15,1162.65 
2019-11-14,1168.08 
2019-11-13,1171.09 
2019-11-12,1165.53 
2019-11-11,1164.45 
2019-11-08,1158.60 
2019-11-07,1154.31 
2019-11-06,1160.41 
2019-11-05,1155.82 
2019-11-04,1162.79 
2019-11-01,1164.67 
